,log2fc,padj
ASCC3,0.6056971211338471,0.0028477789513096465
MYCL,0.5555245219880445,0.0029446176752652145
ZXDA,0.6086725422470287,0.002990729697337144
COPG2,0.5916188812532321,0.003042657743334153
HFE,0.44972021907697,0.003042657743334153
FAM106B,0.08972796265166665,0.003042657743334153
BCL2,0.7345105228541007,0.003042657743334153
P2RX7,0.4980419813710606,0.0030434300512742463
PDPR,0.6663965860838905,0.0030572107355550555
PLXNB2,0.4551167382413226,0.0030572107355550555
GM2A,0.5860190886685448,0.003058885461810778
SIGLEC22P,0.39266788321447943,0.003058885461810778
SMIM13,0.5267823725725136,0.003058885461810778
FAM135A,0.5591529637338777,0.003058885461810778
BAHCC1,0.432002192990004,0.003058885461810778
TMTC2,0.5251915207916067,0.003058885461810778
TACSTD2,0.7462774502334374,0.003058885461810778
ZNF551,0.6226860291781136,0.003200970058234662
PEG10,0.5515558972699748,0.003200970058234662
PUS7,0.5329055144067611,0.003200970058234662
NHSL3,0.4136588431658732,0.003200970058234662
ENSG00000204556,0.13677393321737225,0.003200970058234662
UTRN,0.639254103194073,0.003200970058234662
S100Z,0.39041409043509057,0.003200970058234662
EMBP1,0.30848664838902445,0.003200970058234662
CD300C,0.42570224479391205,0.003243173415751995
SNX30,0.531092871326682,0.003243173415751995
MYCBP2,0.623214379930503,0.003243173415751995
AMER1,0.5215095497464892,0.003301702522141437
NPIPB14P,0.44044222369944896,0.003301702522141437
TASOR2,0.6588042101877507,0.003301702522141437
EXD2,0.500135457244749,0.003301702522141437
SRD5A1,0.43749244245596675,0.003301702522141437
TBC1D5,0.5400106185885551,0.003301702522141437
E2F6,0.4897223986257355,0.003301702522141437
AMFR,0.4116113782873345,0.003301702522141437
SLC20A1,0.46805877337377666,0.003301702522141437
VPS54,0.6002521803983178,0.003301702522141437
NLN,0.48973801510803927,0.003301702522141437
CYBB,0.5576859077913792,0.003301702522141437
DDX11,0.9633949382844067,0.003301702522141437
VENTX,0.4452018588933444,0.003301702522141437
AMOTL1,0.3497003532544807,0.003301702522141437
PANX1,0.43497559987430545,0.0033449930702344256
SFT2D2,0.5795202855316441,0.0033675091393856878
ADGRD1,0.6221069203134919,0.0033675091393856878
SACK1H,0.37796006185072706,0.0034782818541873235
HSPA8P15,0.1350846692028436,0.0035889666264726974
TBC1D9,0.6062450881657879,0.0035889666264726974
IARS2,0.5214228110823926,0.0035889666264726974
SLC24A1,0.46887896881804414,0.0035889666264726974
BMS1P4,0.46632178643649347,0.0035889666264726974
ZNF547,0.435103723992992,0.0035889666264726974
ARMH3,0.41497538844997006,0.0035889666264726974
LARP1,0.4508780411451365,0.0035889666264726974
AHNAK,0.7367429796304865,0.0035889666264726974
TM9SF4,0.3857905210480643,0.0035889666264726974
TPK1,0.44036389427151645,0.0035889666264726974
HERC3,0.84713300420312,0.0035889666264726974
ZNF304,0.5187959829078168,0.0035889666264726974
ZNF543,0.4348833249056028,0.0035889666264726974
